SMILES	Name	fsp3	hac	hba	hbd	mollogp	mw	narom	psa	qed	sascore
Cc1cc(C)c2nc(Nc3nc(C)cc(-c4ccccc4)n3)nc(C)c2c1	ZINC01072036	0.182	27	5	1	5.064	355.18	4	63.59	0.534	2.32
CCOC(=O)CSc1nnc(-c2ccc(C)cc2)o1	ZINC00272910	0.308	19	5	0	2.7	278.073	2	65.22	0.616	1.973
COC1C=CC=C(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2CCN2CCOCC2)C1	ZINC35980699	0.481	35	8	0	1.251	479.218	1	91.37	0.55	4.292
N#Cc1c2nc(=O)[nH]c([O-])c2sc1SCc1ccccc1Cl	ZINC04987659	0.071	22	5	1	2.876	347.967	3	92.6	0.729	3.26
CC1=NN(c2ccc3nncn3n2)C(=O)/C1=C/Nc1cc(C(F)(F)F)ccc1Cl	ZINC36357248	0.118	29	8	1	3.515	421.067	3	87.78	0.639	2.953
O=C(CSc1nnc(NC2CC2)s1)Nc1cc(C(F)(F)F)ccc1N1CCCC1	ZINC14092774	0.5	29	6	2	4.462	443.106	2	70.15	0.589	2.415
COc1cccc(C(=O)NNC(=O)c2ccc(S(=O)(=O)N3CCN(C)CC3)cc2)c1OC	ZINC12856443	0.333	32	10	2	0.715	462.157	2	117.28	0.618	2.149
COc1ccc(Br)cc1/C=C1/N=C([S-])N(c2cccc(C(F)(F)F)c2)C1=O	ZINC36489301	0.111	27	4	0	4.767	454.968	2	41.9	0.472	2.873
CCCCCCN1C(=O)/C(=C/C2=C(O)Oc3c4c5c(cc3=C2C)CCC[N+]=5CCC4)C(=O)N=C1[O-]	ZINC36559514	0.481	35	8	1	0.995	477.226	1	105.27	0.289	3.99
CCn1nccc1C(C)NC(=O)c1cc(C)nc2c1c(C)nn2-c1ccc(F)cc1	ZINC36616999	0.273	30	7	1	3.884	406.192	4	77.63	0.528	2.947
CC1CN(c2nc3c(c(=O)[nH]2)CCN(c2c4c(nc5ncnn52)CCC4)C3)CC(C)O1	ZINC12145239	0.571	31	10	1	0.873	422.218	3	104.54	0.659	4.008
COc1cc(/C=C/C(=O)[O-])cc(Cl)c1OCC(C)C	ZINC03394207	0.357	19	4	0	2.146	283.074	1	58.59	0.753	2.628
Cc1cc(C)cc(NC(=O)CN2C(=O)NC(C)(c3ccc(C#N)cc3)C2=O)c1	ZINC36848343	0.238	28	7	2	2.581	376.154	2	102.3	0.799	2.685
O=[N+]([O-])c1ccc(NCCNc2cccc[nH+]2)nc1	ZINC36874853	0.167	19	7	3	1.328	260.115	2	94.23	0.469	3.431
CC(=O)Nc1cccc(C(=O)N2CCC(C(=O)[O-])CC2)c1	ZINC36972851	0.4	21	6	1	0.247	289.119	1	89.54	0.884	2.215
CCCN(CC)c1ccc(C(=O)[O-])c[nH+]1	ZINC37095369	0.455	15	4	1	0.101	208.121	1	57.51	0.708	4.116
CC1=CC(=NNC(N)=O)C(C(C)C)CC1	ZINC04266531	0.636	15	4	3	2.023	209.153	0	67.48	0.674	3.654
Cc1ccc(CN(C(=O)C([NH3+])C(C)C)C2CC2)cc1	ZINC37809011	0.562	19	3	3	1.753	261.197	1	47.95	0.869	3.085
COc1ccc(Cn2nnc(C(=O)Nc3ccc(F)cc3)c2N)cc1	ZINC00099714	0.118	25	7	3	2.309	341.129	3	95.06	0.744	1.959
CC(C)=CC(=O)Nc1c(C)cc(C)cc1Cl	ZINC00145700	0.308	16	2	1	3.862	237.092	1	29.1	0.753	2.191
COc1nc(N(C#N)CC(N)=O)nc(N2CCCC2)n1	ZINC00110897	0.545	20	9	2	-0.747	277.129	1	121.26	0.576	2.945
CC(=O)C1=C(C)OC(N)=C(C#N)C1c1cccc2ccccc21	ZINC00492980	0.158	23	4	2	3.51	304.121	2	76.11	0.9	2.809
COc1ccc(NC(=O)c2ccccc2NC(=O)C2CC=CCC2C(=O)[O-])cc1	ZINC00627648	0.227	29	7	2	2.218	393.145	2	107.56	0.734	3.091
Cc1c(C)n(CCC(=O)[O-])c2ccccc12	ZINC00818928	0.308	16	3	0	1.398	216.102	2	45.06	0.786	2.522
CCOc1ccccc1NC(=O)CN1C(=O)C(CC)SC(CC)C1=O	ZINC02711084	0.5	25	6	1	2.683	364.146	1	75.71	0.75	3.037
CCOC(=O)C1=C(CN2c3ccccc3CC2C)NC(=O)NC1c1ccccc1	ZINC01355887	0.304	29	6	2	3.309	391.19	2	70.67	0.754	3.121
COc1ccc(C(=O)Nc2cc(OC)c(Cl)cc2Cl)cc1	ZINC01392299	0.133	21	4	1	4.263	325.027	2	47.56	0.876	1.628
Cc1ccc(N2CCN(C(=O)c3cc(C(=O)c4ccccc4C)c[nH]3)CC2)c(C)c1	ZINC01404005	0.28	30	5	1	4.133	401.21	3	56.41	0.643	2.243
Cc1ccc(C)c(N2CCN(C(=O)c3ccc(CS(=O)Cc4ccc(Cl)cc4)o3)CC2)c1	ZINC09115835	0.32	32	5	0	4.961	470.143	3	53.76	0.489	2.895
Cc1cc(NC(=O)COC(=O)c2oc3c(ccc4ccccc34)c2C)no1	ZINC03361229	0.15	27	7	1	3.986	364.106	4	94.57	0.531	2.318
CC(C)(C)N1CC(c2nc3ccccc3n2Cc2ccccc2)CC1=O	ZINC13135680	0.364	26	4	0	4.199	347.2	3	38.13	0.684	2.679
CN(/N=C/c1cccnc1)c1cnn(-c2ccc(F)c(Cl)c2)c(=O)c1Cl	ZINC04588085	0.059	26	6	0	3.544	391.04	3	63.38	0.492	2.752
CC(NC(=O)c1ccc([N+](=O)[O-])o1)C12CC3CC(CC(C3)C1)C2	ZINC04520401	0.706	23	6	1	3.523	318.158	1	85.38	0.664	4.202
COc1ccc(NC(=O)CCCn2cc([N+](=O)[O-])cn2)cc1	ZINC04686774	0.286	22	8	1	2.219	304.117	2	99.29	0.626	1.999
Cc1nc2ncnn2c(C)c1CCC(=O)NCc1ccc(Cl)cc1	ZINC04936030	0.294	24	6	1	2.644	343.12	3	72.18	0.77	2.211
CCc1cccc(NC(=O)CCc2nc(-c3cccs3)no2)c1	ZINC04969557	0.235	23	5	1	3.932	327.104	3	68.02	0.72	2.063
Cc1cc(C)cc(NC(=O)c2ccc(NC(=O)C3C4CC5OC(=O)C3C5C4)cc2)c1	ZINC37867547	0.375	30	6	2	3.692	404.174	2	84.5	0.74	4.2
C(=C1/C=Cc2ccccc21)\c1cc2c3c(c1)CCCN3CCC2	ZINC16919344	0.273	23	1	0	4.953	299.167	2	3.24	0.689	2.552
O=C(Nc1ccc(F)c([N+](=O)[O-])c1)C(=O)c1c([O-])[nH]c2ccccc21	ZINC18061542	0	25	8	2	2.11	342.053	3	128.16	0.326	2.653
O=C(C1CC(=O)N(c2ccc(Cl)cc2)C1)N1CCN(Cc2ccc3c(c2)OCO3)CC1	ZINC19920635	0.391	31	7	0	2.766	441.146	2	62.32	0.726	2.651
CC[NH2+]Cc1cc2cc(C)ccc2[nH]c1=O	ZINC20358264	0.308	16	3	3	0.92	217.134	2	49.47	0.801	3.178
O=C([O-])C1CC(O)CN1c1nc(Cl)ccc1[N+](=O)[O-]	ZINC20444815	0.4	19	8	1	-0.667	286.023	1	119.63	0.464	3.832
CCn1cc2nc(SCc3ccc(C)cc3)n(CCc3ccccc3)c(=O)c2n1	ZINC07006396	0.261	29	5	0	4.456	404.167	4	52.71	0.323	2.313
CC(C)(Oc1ccc(Cl)cc1)C(=O)OCc1nc2ccsc2c(=O)[nH]1	ZINC07986657	0.235	25	6	1	3.539	378.044	3	81.28	0.67	2.561
Cc1csc(SCC(=O)NC2CCCC2)n1	ZINC07196202	0.636	16	3	1	2.602	256.07	1	41.99	0.84	2.129
CC1(C)NC(=[NH2+])NC(=[NH2+])N1CCCCc1ccccc1	ZINC03954183	0.467	20	5	6	-1.53	275.211	1	78.48	0.522	3.534
O=C(COC(=O)c1cccc2ccccc21)NCCCc1ccccc1	ZINC02636548	0.182	26	4	1	3.746	347.152	3	55.4	0.508	1.727
NC(=O)NC(=O)COC(=O)c1ccccc1OCc1ccc(F)cc1	ZINC03268797	0.118	25	7	3	1.756	346.096	2	107.72	0.781	1.861
O=C([O-])c1ccccc1/C=N/NC(=O)c1ccc(COc2cccc3cccnc32)cc1	ZINC03288044	0.04	32	7	1	2.941	424.13	4	103.71	0.36	2.45
O=C(NCCN1C(=O)CCC1=O)c1ccncc1	ZINC04296037	0.333	18	6	1	-0.04	247.096	1	79.37	0.779	2.046
CCn1cc2nc(SCC(=O)Nc3ccc(OC)cc3OC)n(Cc3ccc(Cl)cc3)c(=O)c2n1	ZINC08592626	0.25	35	9	1	4.063	513.124	4	100.27	0.256	2.462
O=C(CC1Nc2ccccc2NC1=O)Nc1cccc([N+](=O)[O-])c1	ZINC00065841	0.125	24	8	3	2.356	326.102	2	113.37	0.59	2.641
COCC(C)N(C)C(=O)c1ccnc(Cl)c1	ZINC37992159	0.455	16	4	0	1.842	242.082	1	42.43	0.762	2.727
CCOC(=O)C(NC(=O)c1ccco1)(Nc1ccc(C)cc1)C(F)(F)F	ZINC03103583	0.294	26	6	2	3.252	370.114	2	80.57	0.593	2.864
COc1ccc2[nH]c(=O)c(CN(C(=O)COc3ccccc3)C(C)C)cc2c1	ZINC08606820	0.273	28	6	1	3.353	380.174	3	71.63	0.67	2.155
COc1ccc(C2Nc3ccccc3C(=O)N2)cc1O	ZINC00146021	0.133	20	5	3	2.255	270.1	2	70.59	0.784	2.66
Cn1c2nc3n(c2c(=O)n(Cc2ccc(Cl)cc2)c1=O)CCN3Cc1ccco1	ZINC03015566	0.25	29	8	0	2.212	411.11	4	78.2	0.516	2.535
CC(O)C(=O)NCCOCCOCCNC(=O)C(C)O	ZINC12438318	0.833	20	8	4	-1.986	292.163	0	117.12	0.348	3.16
COc1ccccc1N(CC(=O)NCCSc1ccccc1)S(C)(=O)=O	ZINC02929537	0.278	26	6	1	2.37	394.102	2	75.71	0.522	2.111
CC(=O)NCCc1ccc(-c2csc(NC(=O)C3CC(=O)N(C4CCCC4)C3)n2)cc1	ZINC09670669	0.478	31	7	2	3.218	440.188	2	91.4	0.681	2.783
CC(C)CCC(CC(C)O)c1nnc([S-])n1-c1ccccc1	ZINC02303650	0.529	22	4	1	3.464	318.164	2	50.94	0.777	3.823
COc1cccc(NC(=O)Nc2c3ccccc3nc(=O)n2Cc2cccs2)c1	ZINC07596867	0.095	29	7	2	4.159	406.11	4	85.25	0.501	2.337
COc1cccc(N2C(=O)/C(=C/c3ccc(C(C)C)cc3)N=C2SC(C)C(=O)NC2CC2)c1	ZINC09507054	0.346	33	6	1	4.963	463.193	2	71	0.564	2.918
CC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C	ZINC04369854	0.783	29	5	1	3.472	406.216	0	80.67	0.695	4.532
Fc1ccc(CN(Cc2ccccc2)C(c2cccs2)c2nnnn2C2CCCCC2)cc1	ZINC20098726	0.346	33	5	0	6.171	461.205	4	46.84	0.314	2.926
Cc1cc(Br)ccc1OCC(=O)Nc1cc([N+](=O)[O-])ccc1F	ZINC00674994	0.133	23	6	1	3.822	381.996	2	81.47	0.609	1.936
Cc1c(Br)c([N+](=O)[O-])nn1CC(=O)NCc1cccnc1	ZINC00797416	0.25	21	8	1	1.574	353.012	2	102.95	0.654	2.394
CC(C)c1cc(C(=O)NC(C)c2ccncc2)cs1	ZINC12382874	0.333	19	3	1	3.758	274.114	2	41.99	0.895	2.711
COCC[NH+](CCOC)CCC(=O)OC	ZINC39368926	0.9	15	5	1	-1.273	220.155	0	49.2	0.52	3.944
CC12C(=O)N(c3ccc(I)cc3)C(=O)C1C1c3ccccc3C2c2ccccc21	ZINC00828211	0.2	29	3	0	5.078	491.038	3	37.38	0.338	3.888
CC(C)C(C(=O)CC[NH+](C)C)c1ccc(Cl)cc1	ZINC01848526	0.533	18	2	1	2.183	268.147	1	21.51	0.842	3.715
Cc1oc(-c2cccc(C)c2)nc1C[NH+](CC1CC1)CC1CCCO1	ZINC39479145	0.571	25	4	1	2.932	341.223	2	39.7	0.834	4.02
N#CC1=C(N)n2c3ccccc3nc2C(C#N)C12CCCC2	ZINC01430686	0.353	22	5	2	2.868	289.133	2	91.42	0.801	3.944
CCn1cc[nH+]c1CNc1ccc(-c2nc(-c3ccc(OC)cc3)no2)cn1	ZINC39551452	0.2	28	8	2	3.055	377.173	4	92.14	0.526	3.139
Cc1ccc(N2C(=O)C3C(C2=O)C2c4ccccc4C3c3ccccc32)cc1Br	ZINC00888088	0.2	29	3	0	5.154	443.052	3	37.38	0.468	3.753
O=C(Nc1nnc(C(F)(F)F)s1)C1CCCO1	ZINC00987656	0.625	17	5	1	1.674	267.029	1	64.11	0.892	2.964
CC(=O)OC1CCC2(C)C3C(=O)CC4(C)C(CCC4C(C)/C=C/C(C)C(C)C)C3=CCC2(OC(C)=O)C1	ZINC36371930	0.781	37	5	0	6.846	512.35	0	69.67	0.29	5.207
CC(C)CN1CCOC(CNC(=O)COc2ccc(Cl)c3cccnc23)C1	ZINC39983558	0.5	27	6	1	2.74	391.166	2	63.69	0.782	2.793
O=C(CSc1nc2ccc([N+](=O)[O-])cc2o1)N1CCCCC1	ZINC00500708	0.429	22	7	0	2.841	321.078	2	89.48	0.485	2.253
CC(C)C(=O)N1CCN(C(C)C(=O)Nc2cc(Cl)ccc2Cl)CC1	ZINC35362524	0.529	24	5	1	3.121	371.117	1	52.65	0.872	2.394
COc1cc(CCC2CCN(C(=O)C3Cc4ccccc4S3)CC2)cc(OC)c1	ZINC40033974	0.458	29	4	0	4.592	411.187	2	38.77	0.666	2.873
CCn1c2ccccc2nc1SC(C)C(=O)N1CCc2ccccc21	ZINC04484511	0.3	25	4	0	4.126	351.141	3	38.13	0.638	2.552
CC(C)n1nc(C(=O)NNC(=O)c2ccc3c(c2)CCO3)c2ccccc2c1=O	ZINC40068725	0.238	29	8	2	1.987	392.148	3	102.32	0.667	2.343
CC(Cc1ccccc1Cl)NC(=O)C1CCN(c2ccc(Cl)nn2)CC1	ZINC40111990	0.421	26	5	1	3.747	392.117	2	58.12	0.817	2.654
CCOC(=O)c1cnn(-c2nc(C)c(C(C)=O)s2)c1C(F)(F)F	ZINC01394466	0.385	23	6	0	3.035	347.055	2	74.08	0.621	2.571
COCCCC(=O)Nc1nc2ccc(OCC(F)(F)F)cc2s1	ZINC40133877	0.429	23	5	1	3.603	348.076	2	60.45	0.757	2.21
CCN(CC)S(=O)(=O)c1cc(NC(=O)C(C)NC(=O)Nc2ccccc2)ccc1C	ZINC40159438	0.333	30	8	3	3.174	432.183	2	107.61	0.587	2.513
COc1cc(OC)cc(-c2nnc3sc(Cn4nc(C)cc4C)nn32)c1	ZINC40284815	0.294	26	8	0	2.732	370.121	4	79.36	0.535	2.604
CCOc1cc(/C=N/NC(=O)c2cccs2)ccc1OCc1ccccc1C#N	ZINC04513456	0.136	29	6	1	4.361	405.115	3	83.71	0.427	2.281
CC1(NC(=O)c2cnn(Cc3ccccc3)c2)CCS(=O)(=O)C1	ZINC40466541	0.375	23	6	1	1.238	333.115	2	81.06	0.923	2.878
COC(=O)Cc1c(C)nc(-c2ccccc2)[nH]c1=O	ZINC08989749	0.214	19	5	1	1.461	258.1	2	72.05	0.854	2.128
Cn1cnnc1C1CCCN(C(=O)CCc2ccccc2)C1	ZINC40513420	0.471	22	5	0	2.154	298.179	2	51.02	0.872	2.595
CC(=O)Nc1ccc(NC(=O)NC(C)C(C)C)cc1C	ZINC40526919	0.467	20	5	3	3.119	277.179	1	70.23	0.781	2.327
ClC(c1ccc(Oc2ncccn2)cc1)C1CC1	ZINC40542975	0.286	18	3	0	3.959	260.072	2	35.01	0.754	2.738
O=C(Nc1cccnc1)N1CCCC1c1ccsc1	ZINC40554864	0.286	19	4	1	3.512	273.094	2	45.23	0.889	2.656
CCOc1ccc(-n2nnnc2SCC(=O)NCc2ccccc2)cc1	ZINC00622980	0.222	26	7	1	2.47	369.126	3	81.93	0.614	1.923
COC1CC(O)C(CO)O1	ZINC04533472	1	10	4	2	-0.899	148.074	0	58.92	0.558	3.572
Cc1cccc(CN2CCN(C(=O)c3cc(NC(=O)C4CCCCC4)n(C)n3)CC2)c1	ZINC40753174	0.542	31	7	1	3.205	423.263	2	70.47	0.79	2.276
O=C(Nc1cccc(NC(=O)c2ccccc2)c1)c1ccccc1	ZINC00075623	0	24	4	2	4.191	316.121	3	58.2	0.728	1.37
CCn1nc(C)c(NC(=O)c2nnn(Cc3ccccc3)c2C)c1C	ZINC40785481	0.333	25	7	1	2.72	338.186	3	77.63	0.772	2.233
Cc1ccc2c(c1)NC(=O)C(CC(=O)Nc1ccn(C)n1)O2	ZINC40789771	0.267	22	7	2	1.457	300.122	2	85.25	0.907	2.933
Cc1ccc(C)c(NC(=O)C2(C)Oc3ccc(C)cc3N(C)C2=O)c1	ZINC40797745	0.3	25	5	1	3.364	338.163	2	58.64	0.838	2.733
COc1ccc2c(c1)C(O)(CC(=O)c1cccc(Br)c1)C(=O)N2	ZINC01320670	0.176	23	5	2	2.87	375.011	2	75.63	0.799	2.728
CCCc1ccc(C2C3=C(Nc4c2c(=O)n(C)c(=O)n4C)c2ccccc2C3=O)cc1	ZINC00795138	0.24	31	6	1	3.202	413.174	3	73.1	0.705	3.023
CCc1noc(C2CCCN(C(=O)c3ccccn3)C2)n1	ZINC41122361	0.467	21	6	0	2.047	286.143	2	72.12	0.867	2.733
C=CCNc1nc(NCCO)c2ccccc2[nH+]1	ZINC41150115	0.231	18	5	4	1.051	245.14	2	71.32	0.674	3.634
O=C(c1c2ccccc2c2cc3ccccc3oc1-2)C(F)(F)F	ZINC03126150	0.056	23	2	0	5.436	314.055	2	30.21	0.425	2.337
O=C(c1cccs1)N1CCOC2CCCCC21	ZINC41194589	0.615	17	3	0	2.532	251.098	1	29.54	0.766	3
CN(C)c1ccc(C(c2nnnn2C(c2ccccc2)c2ccccc2)[NH+](C)C)cc1	ZINC04599827	0.24	31	6	1	2.611	413.245	4	51.28	0.505	3.403
CCCCN1C(=O)c2ccccc2C1Sc1ccc(OC)cc1	ZINC04603297	0.316	23	3	0	4.742	327.129	2	29.54	0.733	2.681
CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1cc([N+](=O)[O-])ccc1F	ZINC00672457	0.133	24	6	1	4.447	372.008	2	81.47	0.594	2.4
COCc1cc(C)nc(Nc2ccc(OC)cc2)c1C#N	ZINC01425212	0.25	21	5	1	3.16	283.132	2	67.17	0.9	2.171
CCS(=O)(=O)c1ccc(N2CCCCC2C)cc1N	ZINC42783769	0.571	19	4	2	2.441	282.14	1	63.4	0.865	2.77
CCOC(=O)c1c(-c2ccc(OC)cc2)csc1NC(=O)c1cccc(OC)c1	ZINC00685852	0.182	29	6	1	4.861	411.114	3	73.86	0.538	1.979
CCOc1ccccc1NC(=O)c1cccc(NC(=O)/C=C/c2ccccc2)c1	ZINC00683294	0.083	29	5	2	4.99	386.163	3	67.43	0.539	1.839
c1c2ccccc2oc1-c1nn2c(nnc2-c2ccncc2)s1	ZINC02439577	0	23	6	0	3.661	319.053	5	69.11	0.483	2.47
CCC(Sc1nnc(N)s1)C(=O)Nc1ccc(Br)cc1	ZINC00624545	0.25	20	5	3	3.392	371.971	2	80.9	0.77	2.712
Cc1ccc(N2C(=O)CC2(C(=O)NC2CCCCC2)c2ccccc2F)cc1	ZINC03034966	0.391	28	4	1	4.215	380.19	2	49.41	0.776	2.869
O=C(Nc1ccccc1OC(F)(F)F)N1CCN(c2ccccc2O)CC1	ZINC43879412	0.278	27	6	2	3.645	381.13	2	65.04	0.83	2.102
O=C(Nc1ccc(NC(=O)N2CCc3ccccc3C2)cc1)c1ccco1	ZINC43977622	0.143	27	6	2	4.122	361.143	3	74.58	0.709	1.977
CCOC(=O)C1=C(C[NH+]2CCC(C)CC2)NC(=O)NC1c1cc(C)ccc1C	ZINC01422119	0.545	28	6	3	1.789	386.244	1	71.87	0.681	3.95
Cc1cccc(NC2SC(=O)N(CCC(=O)[O-])C2=O)c1	ZINC02318582	0.308	20	6	1	0.568	293.06	1	89.54	0.87	3.344
COc1ccc(-c2cnc(SCC(C)C)n2-c2ccc(F)cc2)cc1	ZINC44087005	0.25	25	3	0	5.435	356.136	3	27.05	0.534	2.142
COc1ccc(C(N)C[NH3+])c(F)c1F	ZINC44473203	0.333	14	3	5	0.215	203.1	1	62.89	0.756	3.56
CC1CCN(c2ncnc3c4cc5c(nc4oc32)CC(C)(C)OC5)CC1	ZINC02221298	0.55	26	6	0	3.859	352.19	3	64.28	0.641	3.02
Cc1cccc(OCc2nnc(SC(C)C(=O)Nc3ccc(N)cc3)n2-c2ccccc2)c1	ZINC00930588	0.16	33	7	3	4.856	459.173	4	95.06	0.276	2.616
O=C(CSCc1ccc([N+](=O)[O-])cc1)NCC1CCCO1	ZINC04724118	0.5	21	6	1	2.123	310.099	1	81.47	0.618	2.552
CCOC(=O)C(Nc1ccc(Br)cc1)C(=O)OCC	ZINC01689930	0.385	19	5	1	2.356	329.026	1	64.63	0.641	2.159
Cc1cccc(C2C(C(=O)c3ccccc3)N3c4ccccc4C=CC3C2(C#N)C#N)c1	ZINC03880269	0.179	32	4	0	5.279	415.168	3	67.89	0.527	3.603
CCn1c(=O)c(-c2noc(C(=O)N(C)Cc3ccccc3)n2)nn(-c2ccc(F)cc2)c1=O	ZINC45945896	0.182	33	10	0	1.875	450.145	4	116.12	0.443	2.554
CC(=O)Nc1ccc(N2CC(C(=O)Cl)CC2=O)cc1	ZINC45953765	0.308	19	5	1	1.763	280.061	1	66.48	0.865	2.493
COc1ccc(NC(=O)c2ccc3c(c2)CCCN3C(=O)c2ccccc2)cc1	ZINC46078461	0.167	29	5	1	4.541	386.163	3	58.64	0.685	1.846
CC(CCc1ccccc1)NC(=O)CSc1ccc(Br)cc1	ZINC03222156	0.278	22	2	1	4.679	377.045	2	29.1	0.678	2.253
CC(=O)Oc1cccc(C(=O)Nc2cccc(C)n2)c1	ZINC04842177	0.133	20	5	1	2.568	270.1	2	68.29	0.686	1.845
CCn1cnnc1CNC(=O)C1CCCN(C(=O)c2cccs2)C1	ZINC47020767	0.5	24	7	1	1.528	347.142	2	80.12	0.898	2.852
C[NH+](C)Cc1ccccc1C=C(c1ccccc1)c1ccccc1	ZINC01713601	0.13	24	1	1	3.92	314.191	3	4.44	0.658	2.685
COCCOc1cc(C)ccc1NC(=O)N1CCOC(C)C1	ZINC47854190	0.562	22	6	1	2.273	308.174	1	60.03	0.85	2.582
CCOC(=O)/C=C/c1ccc(NC(=O)NCc2ccc[nH+]c2N(C)C)cc1	ZINC48064687	0.25	27	7	3	2.465	369.193	2	84.81	0.58	3.04
CNS(=O)(=O)c1ccc(C(=O)N2CCC3CCCCC3C2)o1	ZINC48071451	0.667	22	6	1	1.84	326.13	1	79.62	0.925	3.126
CC1CN(C(C)(C)CNc2ncccc2[N+](=O)[O-])CC(C)O1	ZINC28936728	0.667	22	7	1	2.29	308.185	1	80.53	0.665	3.385
Cc1ccc(Cl)c(OC(=O)CCCOc2ccc(Cl)cc2Cl)c1	ZINC02864996	0.235	23	3	0	5.72	372.009	2	35.53	0.361	1.942
CN(Cc1ccsc1)C(=O)Cn1cnc([N+](=O)[O-])n1	ZINC48315093	0.3	19	8	0	0.906	281.058	2	94.16	0.608	2.696
Cc1cccc(N2C(=O)c3ccccc3NC2c2csnn2)c1	ZINC48356263	0.118	23	5	1	3.618	322.089	3	58.12	0.763	3.049
CC(C)C1CCC(C)CC1OC(=O)CCc1ccccc1	ZINC04956294	0.632	21	2	0	4.623	288.209	1	26.3	0.706	2.937
Clc1cccnc1SCc1csc(-c2cccs2)n1	ZINC48424854	0.077	19	2	0	5.212	323.962	3	25.78	0.593	2.357
CCCn1cnc2sc(C(=O)[O-])c(C)c2c1=O	ZINC04967407	0.364	17	5	0	0.54	251.049	2	75.02	0.813	2.816
CC(Oc1ccc(Cl)cc1Cl)C(=O)NCCCNC(=O)c1cnccn1	ZINC04985455	0.294	26	7	2	2.487	396.076	2	93.21	0.667	2.603
O=C([O-])CCSC(=S)Nc1ccccc1O	ZINC01700933	0.2	16	4	2	0.962	256.01	1	72.39	0.626	2.993
CCCNC(=O)C(=O)NCC(c1ccco1)[NH+]1CCN(c2ccccc2)CC1	ZINC04272821	0.429	28	7	3	0.368	385.224	2	79.02	0.615	3.739
Cc1ccccc1-c1noc(C(C)NC(=O)C(C)C)n1	ZINC04998365	0.4	20	5	1	2.878	273.148	2	68.02	0.922	2.574
O=C(NCc1ccccc1)/C(=C/c1ccco1)NC(=O)c1ccccc1Cl	ZINC05007858	0.048	27	5	2	4.02	380.093	3	71.34	0.612	2.08
CCOC(=O)c1c(Cc2cccc(C)c2)c[nH]c1-c1ccccc1	ZINC05016842	0.19	24	3	1	4.758	319.157	3	42.09	0.659	2.122
CCOc1ccccc1C(=O)NC1CCN(C(=O)c2cn(-c3ccc(C)c(C)c3)nn2)CC1	ZINC49406336	0.36	33	8	1	3.317	447.227	3	89.35	0.615	2.326
O=C(NCCC[NH+]1CCN(c2ccccc2)CC1)C(=O)Nc1cccnc1	ZINC49521016	0.35	27	7	3	-0.068	368.209	2	78.77	0.508	3.152
CCCCCCn1c(-c2cc(OC)c(OC)c(OC)c2)nc2nc3ccccc3nc21	ZINC05030269	0.375	31	7	0	5.253	420.216	4	71.29	0.332	2.398
CN1CN(c2ccccc2)C2(CCN(c3nc4ccccc4s3)CC2)C1=O	ZINC01664552	0.333	27	5	0	3.571	378.151	3	39.68	0.667	2.917
O=C(CCC(=O)c1ccc(Cl)s1)NC1CCCCC1	ZINC49906174	0.571	19	3	1	3.813	299.075	1	46.17	0.815	2.08
[NH3+]CCCCCc1ccccc1	ZINC01726903	0.455	12	1	3	1.641	164.144	1	27.64	0.646	2.381
CCn1c2ccccc2c2cc(/C=N/c3ccc(OC(F)(F)F)cc3)ccc21	ZINC02266378	0.136	28	3	0	6.464	382.129	4	26.52	0.374	2.327
Cc1ccc(C)c(CSc2nnc(C(C)NC(=O)OC(C)(C)C)o2)c1	ZINC02380172	0.5	25	6	1	4.564	363.162	2	77.25	0.75	2.858
CCC/C(=N/O)c1ccccn1	ZINC04698719	0.333	12	3	1	2.06	164.095	1	45.48	0.424	2.42
CCc1c(C(=O)NCc2ncc(C)c(OC)c2C)[nH]c(C)c1C(C)=O	ZINC50447883	0.421	25	6	2	3.039	343.19	2	84.08	0.781	2.587
O=C(NCCSCc1ccc(Cl)cc1)c1ccccc1Cl	ZINC02982042	0.188	21	2	1	4.657	339.025	2	29.1	0.741	1.764
Cc1c(C(=O)NCCc2ccccc2)oc2c1/C(=N/O)CC(C)(C)C2	ZINC13557347	0.4	25	5	2	3.711	340.179	2	74.83	0.639	2.529
C=CCn1c(-c2ccc(Br)cc2)nc2nc3ccccc3nc21	ZINC02404210	0.056	23	4	0	4.595	364.032	4	43.6	0.477	2.355
COc1ccc(CNc2oc(/C=C/c3ccccc3)nc2C#N)cc1	ZINC05176190	0.1	25	5	1	4.337	331.132	3	71.08	0.697	2.316
Clc1cc2c(cc1/C=N/c1c(-c3ccco3)nc3ccccn31)OCO2	ZINC01059509	0.053	26	6	0	4.727	365.057	4	61.26	0.471	2.789
O=C(COc1cccc(Cl)c1)Nc1ccc(C(=O)CCl)cc1	ZINC01749789	0.125	22	4	1	3.779	337.027	2	55.4	0.625	1.8
CC(=O)/C(=N/Nc1ccc([N+](=O)[O-])cc1)Sc1cccc2cccnc21	ZINC12363964	0.056	26	7	1	4.25	366.079	3	97.49	0.229	2.562
CC(C)CN1C(=O)NC(NC(=O)C2CCCCC2)(C(F)(F)F)C1=O	ZINC03017806	0.8	24	6	2	2.149	349.161	0	78.51	0.766	3.067
